genome_id	assembly_accession	sra_accession
573.12771	GCA_002192315.1	
573.12772	GCA_002192335.1	
573.12773	GCA_002192375.1	
573.12777	GCA_002197225.1	
573.12778	GCA_002197505.1	
573.12779	GCA_002202195.1	
573.12780	GCA_002202215.1	
573.12781	GCA_002202235.1	
573.12782	GCA_002202255.1	
573.12783	GCA_002202275.1	
573.12796	GCA_002211905.1	
573.12858		
573.12859		
573.12860		
573.12861		
573.12862		
573.12863		
573.12864		
573.12865		
573.12867		
573.12868		
573.12869		
573.12870		
573.12871		
573.12872		
573.12873		
573.12874		
573.12875		
573.12876		
573.12877		
573.12878		
573.12879		
573.12880		
573.12881		
573.12882		
573.12883		
573.12884		
573.12885		
573.12886		
573.12887		
573.12888		
573.12889		
573.12890		
573.12891		
573.12892		
573.12893		
573.12894		
573.12895		
573.12896		
573.12897		
573.12898		
573.12899		
573.12900		
573.12901		
573.12902		
573.12903		
573.12904		
573.12905		
573.12906		
573.12907		
573.12908		
573.12909		
573.12910		
573.12911		
573.12912		
573.12913		
573.12914		
573.12915		
573.12916		
573.12917		
573.12918		
573.12919		
573.12920		
573.12921		
573.12922		
573.12923		
573.12924		
573.12925		
573.12926		
573.12927		
573.12928		
573.12930		
573.12931		
573.12932		
573.12933		
573.12934		
573.12935		
573.12936		
573.12937		
573.12938		
573.12939		
573.12940		
573.12941		
573.12942		
573.12943		
573.12944		
573.12945		
573.12946		
573.12947		
573.12948		
573.12949		
573.12950		
573.12951		
573.12952		
573.12953		
573.12954		
573.12955		
573.12956		
573.12957		
573.12958		
573.12959		
573.12960		
573.12961		
573.12962		
573.12963		
573.12964		
573.12965		
573.12966		
573.12967		
573.12968		
573.12969		
573.12970		
573.12971		
573.12972		
573.12973		
573.12974		
573.12975		
573.12976		
573.12977		
573.12978		
573.12979		
573.12980		
573.12981		
573.12982		
573.12983		
573.12984		
573.12985		
573.12986		
573.12987		
573.12988		
573.12989		
573.12990		
573.12991		
573.12992		
573.12993		
573.12994		
573.12995		
573.12996		
573.12997		
573.12998		
573.12999		
573.13000		
573.13001		
573.13002		
573.13003		
573.13004		
573.13005		
573.13006		
573.13007		
573.13008		
573.13009		
573.13010		
573.13011		
573.13012		
573.13013		
573.13014		
573.13015		
573.13016		
573.13017		
573.13018		
573.13019		
573.13020		
573.13021		
573.13022		
573.13023		
573.13024		
573.13025		
573.13026		
573.13027		
573.13028		
573.13029		
573.13031		SRR5385822
573.13032		SRR5385821
573.13033		SRR5385820
573.13034		SRR5385819
573.13035		SRR5385818
573.13036		SRR5385816
573.13037		SRR5385815
573.13038		SRR5385814
573.13039		SRR5385813
573.13040		SRR5385812
573.13041		SRR5385811
573.13042		SRR5385810
573.13043		SRR5385809
573.13044		SRR5385808
573.13045		SRR5385807
573.13046		SRR5385806
573.13047		SRR5385805
573.13048		SRR5385804
573.13049		SRR5385803
573.13050		SRR5385802
573.13051		SRR5385801
573.13052		SRR5385800
573.13053		SRR5385799
573.13054		SRR5385798
573.13055		SRR5385797
573.13056		SRR5385796
573.13057		SRR5385795
573.13058		SRR5385793
573.13059		SRR5385792
573.13060		SRR5385791
573.13061		SRR5385790
573.13062		SRR5385789
573.13063		SRR5385788
573.13064		SRR5385787
573.13065		SRR5385786
573.13066		SRR5385785
573.13067		SRR5385784
573.13068		SRR5385783
573.13069		SRR5385782
573.13070		SRR5385780
573.13071		SRR5385777
573.13072		SRR5386808
573.13073		SRR5385776
573.13074		SRR5385775
573.13075		SRR5385774
573.13076		SRR5385773
573.13077		SRR5385771
573.13079		SRR5385769
573.13080		SRR5385768
573.13081		SRR5385767
573.13082		SRR5385766
573.13083		SRR5385765
573.13084		SRR5385763
573.13085		SRR5385762
573.13086		SRR5385761
573.13087		SRR5385760
573.13088		SRR5385759
573.13089		SRR5385758
573.13090		SRR5385757
573.13091		SRR5385756
573.13092		SRR5385755
573.13093		SRR5385751
573.13094		SRR5385750
573.13095		SRR5385749
573.13096		SRR5385748
573.13097		SRR5385747
573.13098		SRR5385746
573.13099		SRR5385745
573.13100		SRR5385744
573.13101		SRR5385743
573.13102		SRR5385742
573.13103		SRR5385741
573.13104		SRR5385739
573.13105		SRR5385738
573.13106		SRR5385737
573.13107		SRR5385736
573.13108		SRR5385735
573.13109		SRR5385734
573.13110		SRR5385733
573.13111		SRR5385732
573.13112		SRR5385731
573.13113		SRR5385730
573.13114		SRR5385729
573.13115		SRR5385728
573.13116		SRR5385727
573.13117		SRR5385726
573.13118		SRR5385725
573.13119		SRR5385724
573.13120		SRR5385723
573.13121		SRR5385722
573.13122		SRR5385721
573.13123		SRR5385720
573.13124		SRR5385719
573.13125		SRR5385718
573.13126		SRR5385717
573.13127		SRR5385716
573.13128		SRR5385715
573.13129		SRR5385714
573.13130		SRR5385713
573.13131		SRR5385712
573.13132		SRR5385711
573.13133		SRR5385710
573.13134		SRR5385709
573.13135		SRR5385708
573.13136		SRR5385707
573.13137		SRR5385706
573.13138		SRR5385705
573.13139		SRR5385704
573.13140		SRR5385703
573.13141		SRR5385701
573.13142		SRR5385700
573.13143		SRR5385698
573.13144		SRR5385697
573.13145		SRR5385696
573.13146		SRR5385695
573.13147		SRR5385694
573.13148		SRR5385693
573.13149		SRR5385692
573.13150		SRR5385691
573.13151		SRR5385690
573.13152		SRR5385689
573.13153		SRR5385688
573.13156		SRR5385684
573.13157		SRR5385682
573.13158		SRR5385681
573.13159		SRR5385680
573.13160		SRR5385679
573.13161		SRR5385678
573.13162		SRR5385677
573.13163		SRR5385676
573.13164		SRR5385675
573.13165		SRR5385674
573.13166		SRR5385673
573.13167		SRR5385672
573.13168		SRR5385670
573.13169		SRR5385669
573.13170		SRR5385668
573.13171		SRR5385667
573.13172		SRR5385666
573.13173		SRR5385664
573.13174		SRR5385663
573.13175		SRR5385662
573.13176		SRR5385661
573.13177		SRR5385660
573.13178		SRR5385659
573.13179		SRR5385658
573.13180		SRR5385657
573.13181		SRR5385656
573.13182		SRR5385655
573.13183		SRR5385654
573.13185		SRR5385652
573.13186		SRR5385651
573.13187		SRR5385650
573.13189		SRR5385648
573.13190		SRR5385647
573.13191		SRR5385646
573.13192		SRR5385645
573.13193		SRR5385643
573.13194		SRR5385642
573.13195		SRR5385641
573.13196		SRR5385640
573.13197		SRR5385639
573.13198		SRR5385638
573.13199		SRR5385637
573.13200		SRR5385636
573.13201		SRR5385635
573.13202		SRR5385634
573.13203		SRR5385633
573.13204		SRR5385632
573.13205		SRR5385631
573.13206		SRR5385630
573.13207		SRR5385629
573.13208		SRR5385628
573.13209		SRR5385627
573.13210		SRR5385626
573.13211		SRR5385625
573.13212		SRR5385624
573.13213		SRR5385623
573.13214		SRR5385622
573.13215		SRR5385621
573.13216		SRR5386988
573.13217		SRR5386987
573.13218		SRR5386985
573.13219		SRR5386984
573.13220		SRR5386858
573.13221		SRR5386983
573.13222		SRR5386982
573.13223		SRR5386807
573.13224		SRR5386981
573.13225		SRR5386980
