asm_acc	year	geo	source	organism	phenotypes	genotypes	n_genes
GCA_000417105.1		NULL	null	Klebsiella pneumoniae UHKPC28	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Resistant;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Resistant;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:crrB_Q10L;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;emrD;fosA;oqxA;oqxB	12
GCA_000417125.1		NULL	null	Klebsiella pneumoniae UHKPC47	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(6')-Ib;aadA2;blaKPC;blaSHV;catA1;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	16
GCA_000401195.1		NULL	null	Klebsiella pneumoniae UHKPC23	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;aadA2;blaKPC;blaSHV;catA1;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	17
GCA_000417305.1		NULL	null	Klebsiella pneumoniae UHKPC69	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Resistant;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Resistant;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;POINT:ramR_W185Ter;aac(3)-IVa;aadA2;aph(4)-Ia;blaKPC;blaOXA;blaSHV;dfrA12;emrD;fosA;mph(A);oqxA;oqxB;sul1;sul3	19
GCA_000417325.1		NULL	null	Klebsiella pneumoniae UHKPC77	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Intermediate;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA2;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	21
GCA_000417345.1		NULL	null	Klebsiella pneumoniae UHKPC96	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA1;aadA2;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	22
GCA_000417485.1		NULL	null	Klebsiella pneumoniae DMC0799	amikacin=Susceptible;aztreonam=Resistant;cefepime=Susceptible;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Susceptible;colistin=Susceptible;doripenem=Intermediate;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Susceptible;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Susceptible	ant(2'')-Ia;ant(3'');aphA16;blaKPC;blaLAP;blaOXA;blaSHV;blaTEM;emrD;fosA;oqxA11;oqxB19;qnrS1	13
GCA_000417225.2		NULL	null	Klebsiella pneumoniae DMC1097	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Susceptible;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(6')-Ib';aadA1;aadA2;aph(3')-Ia;blaKPC;blaOXA;blaSHV;blaTEM;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	20
GCA_000417205.1		NULL	null	Klebsiella pneumoniae DMC1316	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Resistant;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;POINT:phoQ_D438N;aac(3)-IVa;aadA1;aadA2;aph(4)-Ia;blaKPC;blaOXA;blaSHV;emrD;estX;fosA;oqxA;oqxB;sul3	19
GCA_000417065.1		NULL	null	Klebsiella pneumoniae UHKPC61	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;emrD;fosA;oqxA;oqxB	10
