genome_id	genome_name	mlst	isolation_source	isolation_country	collection_year	host_name	genome_length	genome_status	contigs
1280.10000	Staphylococcus aureus C00013237	MLST.saureus.22					2752320	WGS	47
1280.10001	Staphylococcus aureus C00013238	MLST.saureus.109					2800590	WGS	27
1280.10002	Staphylococcus aureus C00013241	MLST.saureus.22					2703853	WGS	50
1280.10003	Staphylococcus aureus C00013242	MLST.saureus.39					2777140	WGS	43
1280.10004	Staphylococcus aureus C00013244	MLST.saureus.15					2765219	WGS	41
1280.10005	Staphylococcus aureus C00013245	MLST.saureus.15					2760633	WGS	48
1280.10006	Staphylococcus aureus C00013246	MLST.saureus.1					2748704	WGS	29
1280.10007	Staphylococcus aureus C00013247	MLST.saureus.22					2771356	WGS	54
1280.10008	Staphylococcus aureus C00013251	MLST.saureus.45					2777957	WGS	22
1280.10009	Staphylococcus aureus C00013313	MLST.saureus.30					2846641	WGS	51
1280.10010	Staphylococcus aureus C00013322	MLST.saureus.45					2690569	WGS	30
1280.10011	Staphylococcus aureus C00013321	MLST.saureus.5					2715465	WGS	30
1280.10012	Staphylococcus aureus C00013323	MLST.saureus.59					2698455	WGS	48
1280.10013	Staphylococcus aureus C00013327	MLST.saureus.22					2699275	WGS	52
1280.10014	Staphylococcus aureus C00013328	MLST.saureus.8					2838629	WGS	40
1280.10015	Staphylococcus aureus C00013329	MLST.saureus.12					2674004	WGS	22
1280.10016	Staphylococcus aureus C00013332	MLST.saureus.8					2749375	WGS	32
1280.10017	Staphylococcus aureus C00013333	MLST.saureus.59					2739783	WGS	50
1280.10018	Staphylococcus aureus C00013334	MLST.saureus.1535					2745075	WGS	41
1280.10019	Staphylococcus aureus C00013335	MLST.saureus.8					2795683	WGS	31
1280.10020	Staphylococcus aureus C00013339	MLST.saureus.22					2712533	WGS	45
1280.10021	Staphylococcus aureus C00013342	MLST.saureus.5					2758207	WGS	36
1280.10022	Staphylococcus aureus C00013343	MLST.saureus.8					2748733	WGS	37
1280.10023	Staphylococcus aureus C00013347	MLST.saureus.22					2712679	WGS	54
1280.10024	Staphylococcus aureus C00013350	MLST.saureus.425					2763790	WGS	39
1280.10025	Staphylococcus aureus C00013351	MLST.saureus.8					2752506	WGS	33
1280.10026	Staphylococcus aureus C00013357	MLST.saureus.59					2698401	WGS	47
1280.10027	Staphylococcus aureus C00013358	MLST.saureus.8					2753121	WGS	31
1280.10028	Staphylococcus aureus C00013359	MLST.saureus.72					2712488	WGS	40
1280.10029	Staphylococcus aureus C00013363	MLST.saureus.45					2730313	WGS	30
1280.10030	Staphylococcus aureus C00013367	MLST.saureus.1					2739685	WGS	30
1280.10031	Staphylococcus aureus C00013364	MLST.saureus.45					2731957	WGS	31
1280.10032	Staphylococcus aureus C00013371	MLST.saureus.22					2734895	WGS	63
1280.10033	Staphylococcus aureus C00013373	MLST.saureus.54					2699724	WGS	27
1280.10034	Staphylococcus aureus C00013374	MLST.saureus.3448					2709991	WGS	45
1280.10035	Staphylococcus aureus C00013376	MLST.saureus.1					2815429	WGS	31
1280.10036	Staphylococcus aureus C00013377	MLST.saureus.39					2793998	WGS	40
1280.10037	Staphylococcus aureus C00013382	MLST.saureus.45					2756741	WGS	20
1280.10038	Staphylococcus aureus C00013384	MLST.saureus.15					2718730	WGS	37
1280.10039	Staphylococcus aureus C00013388	MLST.saureus.34					2846595	WGS	53
1280.10040	Staphylococcus aureus C00013390	MLST.saureus.59					2702949	WGS	51
1280.10041	Staphylococcus aureus C00013391	MLST.saureus.291					2714191	WGS	49
1280.10042	Staphylococcus aureus C00013393	MLST.saureus.1					2795917	WGS	29
1280.10043	Staphylococcus aureus C00013394	MLST.saureus.15					2710623	WGS	36
1280.10044	Staphylococcus aureus C00013395	MLST.saureus.15					2748093	WGS	38
1280.10045	Staphylococcus aureus C00013396	MLST.saureus.8					2817009	WGS	40
1280.10046	Staphylococcus aureus C00013402	MLST.saureus.88					2730822	WGS	37
